-12,12,26,-15
20,36,23,77
35,46,5,9
-12,25,-11,2
22,-33,12,3
-60,-22,2,24
-12,-8,127,-69
-54,-1,7,-11
46,9,3,9
30,32,19,0
-84,-60,42,41
30,31,24,24
8,7,-4,-8
-23,14,19,-6
-10,-59,-28,-18
-17,8,2,120
80,91,-16,106
-61,2,23,-5
59,14,0,-14
33,42,3,2
-53,-39,0,-19
-23,-48,42,8
45,65,2,1
53,63,2,0
60,-16,1,-1
70,32,9,-26
-22,-42,0,-43
-63,-33,0,0
-3,-57,6,0
-60,-103,-20,6
-32,-20,2,-31
17,34,39,-30
35,52,17,-1
-13,84,0,-6
-46,-67,-11,2
-49,-30,2,-59
13,15,57,-5
-28,-10,-11,37
81,20,-4,-1
80,59,12,-18
